NO,KD_CAB,JENIS_KANTOR,KLASIFIKASI,NAMA_KANTOR,STATUS
136,319,KANTOR KAS,CABANG PEMBANTU KELAS 4,KANTOR KAS KUALA BEGUMIT,AKTIF
137,328,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM BATANG SERANGAN,AKTIF
138,329,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM BAHOROK,AKTIF
139,350,CABANG,CABANG KHUSUS ,CABANG JAKARTA ,TUTUP
140,352,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3 ,CAPEM CIDENG ,TUTUP
141,302,CABANG,CABANG KELAS 3,CABANG SEI RAMPAH,AKTIF
142,304,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM BENGKEL,AKTIF
143,305,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM SIPISPIS,AKTIF
144,308,KANTOR KAS,KANTOR KAS ,KANTOR KAS SIALANG BUAH ,TUTUP
145,271,CABANG,CABANG KELAS 3,CABANG TELUK DALAM,AKTIF
146,274,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM PULAU TELLO,AKTIF
147,275,KANTOR KAS,CABANG PEMBANTU KELAS 4,KANTOR KAS LAHUSA,AKTIF
148,278,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM LOLOWAU,AKTIF
149,241,CABANG,CABANG KELAS 3,CABANG PANGURURAN,AKTIF
150,243,KANTOR KAS,CABANG PEMBANTU KELAS 4,KANTOR KAS TOMOK,AKTIF
151,244,KANTOR KAS,CABANG PEMBANTU KELAS 4,KANTOR KAS ONAN BARU,AKTIF
152,248,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM NAINGGOLAN,AKTIF
153,321,CABANG,CABANG KELAS 3,CABANG DOLOK SANGGUL,AKTIF
154,327,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM PAKKAT,AKTIF
155,373,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM MPP HUMBANG HASUNDUTAN,AKTIF
156,109,CABANG,CABANG KELAS 3,CABANG TEMBUNG,AKTIF
157,138,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM BATANG KUIS,AKTIF
158,146,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM MANDALA,AKTIF
159,157,KANTOR KAS,CABANG PEMBANTU KELAS 4,KANTOR KAS LETDA SUJONO,AKTIF
160,160,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM PERCUT,AKTIF
161,110,CABANG,CABANG KELAS 3,CABANG KAMPUNG LALANG,AKTIF
162,108,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 2,CAPEM SEI SIKAMBING,AKTIF
163,133,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3 MIKRO,CAPEM PASAR HELVETIA,AKTIF
164,143,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM SUNGGAL,AKTIF
165,144,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM KELAMBIR LIMA,AKTIF
166,145,KANTOR KAS,CABANG PEMBANTU KELAS 4,KANTOR KAS KAPTEN MUSLIM,AKTIF
167,117,CABANG,CABANG KELAS 3,CABANG NGUMBAN SURBAKTI,AKTIF
168,124,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 2,CAPEM PANCURBATU,AKTIF
169,128,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM MELATI,AKTIF
